Date,Stock,Action,Price
2024-09-04,AMD,sell,140.8699951171875
2024-09-04,NVDA,sell,106.20999908447266
2024-09-04,PANW,sell,346.1499938964844
2024-09-05,RKLB,buy,6.079999923706055
2024-09-07,SPY,buy,540.3599853515625
2024-09-07,PANW,buy,335.82000732421875
2024-09-07,ASTS,buy,26.110000610351562
2024-09-07,AAPL,buy,220.82000732421875
2024-09-08,SPY,buy,540.3599853515625
2024-09-08,PANW,buy,335.82000732421875
2024-09-08,ASTS,buy,26.110000610351562
2024-09-08,AAPL,buy,220.82000732421875
2024-09-08,SPY,buy,540.3599853515625
2024-09-08,PANW,buy,335.82000732421875
2024-09-08,ASTS,buy,26.110000610351562
2024-09-08,AAPL,buy,220.82000732421875
2024-09-09,SPY,sell,546.4099731445312
2024-09-09,PANW,sell,344.04998779296875
2024-09-09,RKLB,sell,6.139999866485596
2024-09-09,AAPL,sell,220.91000366210938
2024-09-11,ASTS,sell,26.110000610351562
